Region,Country,Gateway,cabinndclass,Metric,SubMetric,Values,Month
NSWEUR,U.K,MAN,Y,RASK,CY,2364,20170101
NSWEUR,U.K,MAN,Y,RASK,VTL,4,20170101
NSWEUR,U.K,MAN,Y,ASK,CY,3,20170101
NSWEUR,U.K,MAN,Y,ASK,V.LY,6.5,20170101
NSWEUR,U.K,MAN,Y,Yield,CY,6.2,20170101
NSWEUR,U.K,MAN,Y,Yield,VTL,7,20170101
NSWEUR,U.K,MAN,Y,LoadFactor,CY,56,20170101
NSWEUR,U.K,MAN,Y,LoadFactor,VTL,1.2,20170101
NSWEUR,U.K,MAN,J,Bookings,CY,0.18,20170101
NSWEUR,U.K,MAN,J,Bookings,VTL(%),26,20170101
NSWEUR,U.K,MAN,J,Bookings,TKT(%),78,20170101
NSWEUR,U.K,MAN,J,Passenger,Forecast,0.32,20170101
NSWEUR,U.K,MAN,J,Passenger,BGT,0.36,20170101
NSWEUR,U.K,MAN,J,Passenger,VTB(%),4,20170101
NSWEUR,U.K,MAN,J,Passenger,VTL(%),7,20170101
NSWEUR,U.K,MAN,J,ATV,Forecast,303.6,20170101
NSWEUR,U.K,MAN,J,ATV,BGT,315.6,20170101
NSWEUR,U.K,MAN,J,ATV,VTB(%),13,20170101
NSWEUR,U.K,MAN,J,ATV,VTL(%),4,20170101
NSWEUR,U.K,MAN,J,Revenue,Forecast,121,20170101
NSWEUR,U.K,MAN,J,Revenue,BGT,175.3,20170101
NSWEUR,U.K,MAN,J,Revenue,VTB(%),13,20170101
NSWEUR,U.K,MAN,J,Revenue,VTL(%),4,20170101
NSWEUR,U.K,MAN,J,SAmarketShare(%),CY(%),5.49,20170101
NSWEUR,U.K,MAN,J,SAmarketShare(%),VTL(pts),2.16,20170101
NSWEUR,U.K,MAN,J,RASK,CY,2351,20170101
NSWEUR,U.K,MAN,J,RASK,VTL,4,20170101
NSWEUR,U.K,MAN,J,ASK,CY,2,20170101
NSWEUR,U.K,MAN,J,ASK,V.LY,5.4,20170101
NSWEUR,U.K,MAN,J,Yield,CY,6.1,20170101
NSWEUR,U.K,MAN,J,Yield,VTL,9,20170101
NSWEUR,U.K,MAN,J,LoadFactor,CY,66,20170101
NSWEUR,U.K,MAN,J,LoadFactor,VTL,1.36,20170101
NSWEUR,U.K,BHX,F,Bookings,CY,0.05,20170101
NSWEUR,U.K,BHX,F,Bookings,VTL(%),34,20170101
NSWEUR,U.K,BHX,F,Bookings,TKT(%),92,20170101
NSWEUR,U.K,BHX,F,Passenger,Forecast,0.04,20170101
NSWEUR,U.K,BHX,F,Passenger,BGT,0.25,20170101
NSWEUR,U.K,BHX,F,Passenger,VTB(%),3,20170101
NSWEUR,U.K,BHX,F,Passenger,VTL(%),8,20170101
NSWEUR,U.K,BHX,F,ATV,Forecast,312.6,20170101
NSWEUR,U.K,BHX,F,ATV,BGT,324.3,20170101
NSWEUR,U.K,BHX,F,ATV,VTB(%),16,20170101
NSWEUR,U.K,BHX,F,ATV,VTL(%),5,20170101
NSWEUR,U.K,BHX,F,Revenue,Forecast,135,20170101
NSWEUR,U.K,BHX,F,Revenue,BGT,165.2,20170101
NSWEUR,U.K,BHX,F,Revenue,VTB(%),15,20170101
NSWEUR,U.K,BHX,F,Revenue,VTL(%),3,20170101
NSWEUR,U.K,BHX,F,SAmarketShare(%),CY(%),4.26,20170101
NSWEUR,U.K,BHX,F,SAmarketShare(%),VTL(pts),2.9,20170101
NSWEUR,U.K,BHX,F,RASK,CY,2341,20170101
NSWEUR,U.K,BHX,F,RASK,VTL,5,20170101
NSWEUR,U.K,BHX,F,ASK,CY,3,20170101
NSWEUR,U.K,BHX,F,ASK,V.LY,5.3,20170101
NSWEUR,U.K,BHX,F,Yield,CY,6.3,20170101
NSWEUR,U.K,BHX,F,Yield,VTL,7,20170101
NSWEUR,U.K,BHX,F,LoadFactor,CY,68,20170101
NSWEUR,U.K,BHX,F,LoadFactor,VTL,1.32,20170101
NSWEUR,U.K,BHX,J,Bookings,CY,0.02,20170101
NSWEUR,U.K,BHX,J,Bookings,VTL(%),35,20170101
NSWEUR,U.K,BHX,J,Bookings,TKT(%),54,20170101
NSWEUR,U.K,BHX,J,Passenger,Forecast,0.35,20170101
NSWEUR,U.K,BHX,J,Passenger,BGT,0.32,20170101
NSWEUR,U.K,BHX,J,Passenger,VTB(%),2,20170101
NSWEUR,U.K,BHX,J,Passenger,VTL(%),9,20170101
NSWEUR,U.K,BHX,J,ATV,Forecast,306.7,20170101
NSWEUR,U.K,BHX,J,ATV,BGT,356.3,20170101
NSWEUR,U.K,BHX,J,ATV,VTB(%),12,20170101
NSWEUR,U.K,BHX,J,ATV,VTL(%),4,20170101
NSWEUR,U.K,BHX,J,Revenue,Forecast,141,20170101
NSWEUR,U.K,BHX,J,Revenue,BGT,145.3,20170101
NSWEUR,U.K,BHX,J,Revenue,VTB(%),16,20170101
NSWEUR,U.K,BHX,J,Revenue,VTL(%),2,20170101
NSWEUR,U.K,BHX,J,SAmarketShare(%),CY(%),5.23,20170101
NSWEUR,U.K,BHX,J,SAmarketShare(%),VTL(pts),2.89,20170101
NSWEUR,U.K,BHX,J,RASK,CY,2345,20170101
NSWEUR,U.K,BHX,J,RASK,VTL,3,20170101
NSWEUR,U.K,BHX,J,ASK,CY,3,20170101
NSWEUR,U.K,BHX,J,ASK,V.LY,5.2,20170101
NSWEUR,U.K,BHX,J,Yield,CY,6.4,20170101
NSWEUR,U.K,BHX,J,Yield,VTL,8,20170101
NSWEUR,U.K,BHX,J,LoadFactor,CY,69,20170101
NSWEUR,U.K,BHX,J,LoadFactor,VTL,1.06,20170101
NSWEUR,U.K,BHX,Y,Bookings,CY,0.15,20170101
NSWEUR,U.K,BHX,Y,Bookings,VTL(%),38,20170101
NSWEUR,U.K,BHX,Y,Bookings,TKT(%),54,20170101
NSWEUR,U.K,BHX,Y,Passenger,Forecast,0.23,20170101
NSWEUR,U.K,BHX,Y,Passenger,BGT,0.46,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTB(%),1,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTL(%),7,20170101
NSWEUR,U.K,BHX,Y,ATV,Forecast,312.6,20170101
NSWEUR,U.K,BHX,Y,ATV,BGT,349.2,20170101
NSWEUR,U.K,BHX,Y,ATV,VTB(%),14,20170101
NSWEUR,U.K,BHX,Y,ATV,VTL(%),6,20170101
NSWEUR,U.K,BHX,Y,Revenue,Forecast,123,20170101
NSWEUR,U.K,BHX,Y,Revenue,BGT,159.6,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTB(%),12,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTL(%),3,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),CY(%),5.16,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),VTL(pts),3.16,20170101
NSWEUR,U.K,BHX,Y,RASK,CY,2164,20170101
NSWEUR,U.K,BHX,Y,RASK,VTL,4,20170101
NSWEUR,U.K,BHX,Y,ASK,CY,1,20170101
NSWEUR,U.K,BHX,Y,ASK,V.LY,5.1,20170101
NSWEUR,U.K,BHX,Y,Yield,CY,5.9,20170101
NSWEUR,U.K,BHX,Y,Yield,VTL,9,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,CY,62,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,VTL,1.22,20170101
NSWEUR,U.K,BHX,Y,Bookings,CY,0.22,20170101
NSWEUR,U.K,BHX,Y,Bookings,VTL(%),12,20170101
NSWEUR,U.K,BHX,Y,Bookings,TKT(%),94,20170101
NSWEUR,U.K,BHX,Y,Passenger,Forecast,0.45,20170101
NSWEUR,U.K,BHX,Y,Passenger,BGT,0.46,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTB(%),2,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTL(%),9,20170101
NSWEUR,U.K,BHX,Y,ATV,Forecast,306.7,20170101
NSWEUR,U.K,BHX,Y,ATV,BGT,348.9,20170101
NSWEUR,U.K,BHX,Y,ATV,VTB(%),12,20170101
NSWEUR,U.K,BHX,Y,ATV,VTL(%),7,20170101
NSWEUR,U.K,BHX,Y,Revenue,Forecast,138,20170101
NSWEUR,U.K,BHX,Y,Revenue,BGT,159.79,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTB(%),14,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTL(%),1,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),CY(%),5.73,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),VTL(pts),3.17,20170101
NSWEUR,U.K,BHX,Y,RASK,CY,2645,20170101
NSWEUR,U.K,BHX,Y,RASK,VTL,5,20170101
NSWEUR,U.K,BHX,Y,ASK,CY,1,20170101
NSWEUR,U.K,BHX,Y,ASK,V.LY,6.5,20170101
NSWEUR,U.K,BHX,Y,Yield,CY,6.2,20170101
NSWEUR,U.K,BHX,Y,Yield,VTL,10,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,CY,77,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,VTL,1.23,20170101
NSWEUR,U.K,BHX,Y,Bookings,CY,0.21,20170101
NSWEUR,U.K,BHX,Y,Bookings,VTL(%),24,20170101
NSWEUR,U.K,BHX,Y,Bookings,TKT(%),96,20170101
NSWEUR,U.K,BHX,Y,Passenger,Forecast,0.23,20170101
NSWEUR,U.K,BHX,Y,Passenger,BGT,0.25,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTB(%),3,20170101
NSWEUR,U.K,BHX,Y,Passenger,VTL(%),8,20170101
NSWEUR,U.K,BHX,Y,ATV,Forecast,305.2,20170101
NSWEUR,U.K,BHX,Y,ATV,BGT,371.5,20170101
NSWEUR,U.K,BHX,Y,ATV,VTB(%),11,20170101
NSWEUR,U.K,BHX,Y,ATV,VTL(%),6,20170101
NSWEUR,U.K,BHX,Y,Revenue,Forecast,132,20170101
NSWEUR,U.K,BHX,Y,Revenue,BGT,123.6,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTB(%),13,20170101
NSWEUR,U.K,BHX,Y,Revenue,VTL(%),2,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),CY(%),5.23,20170101
NSWEUR,U.K,BHX,Y,SAmarketShare(%),VTL(pts),3.12,20170101
NSWEUR,U.K,BHX,Y,RASK,CY,2465,20170101
NSWEUR,U.K,BHX,Y,RASK,VTL,4,20170101
NSWEUR,U.K,BHX,Y,ASK,CY,2,20170101
NSWEUR,U.K,BHX,Y,ASK,V.LY,6.2,20170101
NSWEUR,U.K,BHX,Y,Yield,CY,6.3,20170101
NSWEUR,U.K,BHX,Y,Yield,VTL,9,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,CY,65,20170101
NSWEUR,U.K,BHX,Y,LoadFactor,VTL,1.24,20170101
NSWEUR,Germany,EDI,Y,Bookings,CY,0.23,20170101
NSWEUR,Germany,EDI,Y,Bookings,VTL(%),45,20170101
NSWEUR,Germany,EDI,Y,Bookings,TKT(%),88,20170101
NSWEUR,Germany,EDI,Y,Passenger,Forecast,0.32,20170101
NSWEUR,Germany,EDI,Y,Passenger,BGT,0.36,20170101
NSWEUR,Germany,EDI,Y,Passenger,VTB(%),7,20170101
NSWEUR,Germany,EDI,Y,Passenger,VTL(%),7,20170101
NSWEUR,Germany,EDI,Y,ATV,Forecast,312.5,20170101
NSWEUR,Germany,EDI,Y,ATV,BGT,359.6,20170101
NSWEUR,Germany,EDI,Y,ATV,VTB(%),9,20170101
NSWEUR,Germany,EDI,Y,ATV,VTL(%),5,20170101
NSWEUR,Germany,EDI,Y,Revenue,Forecast,135,20170101
NSWEUR,Germany,EDI,Y,Revenue,BGT,154.3,20170101
NSWEUR,Germany,EDI,Y,Revenue,VTB(%),12,20170101
NSWEUR,Germany,EDI,Y,Revenue,VTL(%),4,20170101
NSWEUR,Germany,EDI,Y,SAmarketShare(%),CY(%),5.36,20170101
NSWEUR,Germany,EDI,Y,SAmarketShare(%),VTL(pts),3.63,20170101
NSWEUR,Germany,EDI,Y,RASK,CY,2456,20170101
NSWEUR,Germany,EDI,Y,RASK,VTL,5,20170101
NSWEUR,Germany,EDI,Y,ASK,CY,3,20170101
NSWEUR,Germany,EDI,Y,ASK,V.LY,6.5,20170101
NSWEUR,Germany,EDI,Y,Yield,CY,6.6,20170101
NSWEUR,Germany,EDI,Y,Yield,VTL,8,20170101
NSWEUR,Germany,EDI,Y,LoadFactor,CY,77,20170101
NSWEUR,Germany,EDI,Y,LoadFactor,VTL,1.26,20170101
NSWEUR,Germany,EDI,F,Bookings,CY,0.21,20170101
NSWEUR,Germany,EDI,F,Bookings,VTL(%),21,20170101
NSWEUR,Germany,EDI,F,Bookings,TKT(%),58,20170101
NSWEUR,Germany,EDI,F,Passenger,Forecast,0.25,20170101
NSWEUR,Germany,EDI,F,Passenger,BGT,0.23,20170101
NSWEUR,Germany,EDI,F,Passenger,VTB(%),6,20170101
NSWEUR,Germany,EDI,F,Passenger,VTL(%),6,20170101
NSWEUR,Germany,EDI,F,ATV,Forecast,302.9,20170101
NSWEUR,Germany,EDI,F,ATV,BGT,352.3,20170101
NSWEUR,Germany,EDI,F,ATV,VTB(%),10,20170101
NSWEUR,Germany,EDI,F,ATV,VTL(%),6,20170101
NSWEUR,Germany,EDI,F,Revenue,Forecast,136,20170101
NSWEUR,Germany,EDI,F,Revenue,BGT,124.3,20170101
NSWEUR,Germany,EDI,F,Revenue,VTB(%),10,20170101
NSWEUR,Germany,EDI,F,Revenue,VTL(%),6,20170101
NSWEUR,Germany,EDI,F,SAmarketShare(%),CY(%),4.99,20170101
NSWEUR,Germany,EDI,F,SAmarketShare(%),VTL(pts),3.98,20170101
NSWEUR,Germany,EDI,F,RASK,CY,2179,20170101
NSWEUR,Germany,EDI,F,RASK,VTL,3,20170101
NSWEUR,Germany,EDI,F,ASK,CY,2,20170101
NSWEUR,Germany,EDI,F,ASK,V.LY,6.5,20170101
NSWEUR,Germany,EDI,F,Yield,CY,6.5,20170101
NSWEUR,Germany,EDI,F,Yield,VTL,9,20170101
NSWEUR,Germany,EDI,F,LoadFactor,CY,77,20170101
NSWEUR,Germany,EDI,F,LoadFactor,VTL,1.32,20170101
NSWEUR,Germany,EDI,J,Bookings,CY,0.15,20170101
NSWEUR,Germany,EDI,J,Bookings,VTL(%),23,20170101
NSWEUR,Germany,EDI,J,Bookings,TKT(%),68,20170101
NSWEUR,Germany,EDI,J,Passenger,Forecast,0.42,20170101
NSWEUR,Germany,EDI,J,Passenger,BGT,0.25,20170101
NSWEUR,Germany,EDI,J,Passenger,VTB(%),5,20170101
NSWEUR,Germany,EDI,J,Passenger,VTL(%),5,20170101
NSWEUR,Germany,EDI,J,ATV,Forecast,302.6,20170101
NSWEUR,Germany,EDI,J,ATV,BGT,333.6,20170101
NSWEUR,Germany,EDI,J,ATV,VTB(%),11,20170101
NSWEUR,Germany,EDI,J,ATV,VTL(%),8,20170101
NSWEUR,Germany,EDI,J,Revenue,Forecast,123,20170101
NSWEUR,Germany,EDI,J,Revenue,BGT,145.3,20170101
NSWEUR,Germany,EDI,J,Revenue,VTB(%),11,20170101
NSWEUR,Germany,EDI,J,Revenue,VTL(%),5,20170101
NSWEUR,Germany,EDI,J,SAmarketShare(%),CY(%),5.49,20170101
NSWEUR,Germany,EDI,J,SAmarketShare(%),VTL(pts),3.56,20170101
NSWEUR,Germany,EDI,J,RASK,CY,2364,20170101
NSWEUR,Germany,EDI,J,RASK,VTL,4,20170101
NSWEUR,Germany,EDI,J,ASK,CY,3,20170101
NSWEUR,Germany,EDI,J,ASK,V.LY,6.5,20170101
NSWEUR,Germany,EDI,J,Yield,CY,6.2,20170101
NSWEUR,Germany,EDI,J,Yield,VTL,7,20170101
NSWEUR,Germany,EDI,J,LoadFactor,CY,65,20170101
NSWEUR,Germany,EDI,J,LoadFactor,VTL,1.2,20170101
NSWEUR,Germany,BRT,F,Bookings,CY,0.18,20170101
NSWEUR,Germany,BRT,F,Bookings,VTL(%),26,20170101
NSWEUR,Germany,BRT,F,Bookings,TKT(%),78,20170101
NSWEUR,Germany,BRT,F,Passenger,Forecast,0.32,20170101
NSWEUR,Germany,BRT,F,Passenger,BGT,0.36,20170101
NSWEUR,Germany,BRT,F,Passenger,VTB(%),4,20170101
NSWEUR,Germany,BRT,F,Passenger,VTL(%),7,20170101
NSWEUR,Germany,BRT,F,ATV,Forecast,303.6,20170101
NSWEUR,Germany,BRT,F,ATV,BGT,315.6,20170101
NSWEUR,Germany,BRT,F,ATV,VTB(%),13,20170101
NSWEUR,Germany,BRT,F,ATV,VTL(%),4,20170101
NSWEUR,Germany,BRT,F,Revenue,Forecast,121,20170101
NSWEUR,Germany,BRT,F,Revenue,BGT,175.3,20170101
NSWEUR,Germany,BRT,F,Revenue,VTB(%),13,20170101
NSWEUR,Germany,BRT,F,Revenue,VTL(%),4,20170101
NSWEUR,Germany,BRT,F,SAmarketShare(%),CY(%),5.49,20170101
NSWEUR,Germany,BRT,F,SAmarketShare(%),VTL(pts),2.16,20170101
NSWEUR,Germany,BRT,F,RASK,CY,2351,20170101
NSWEUR,Germany,BRT,F,RASK,VTL,4,20170101
NSWEUR,Germany,BRT,F,ASK,CY,2,20170101
NSWEUR,Germany,BRT,F,ASK,V.LY,5.4,20170101
NSWEUR,Germany,BRT,F,Yield,CY,6.1,20170101
NSWEUR,Germany,BRT,F,Yield,VTL,9,20170101
NSWEUR,Germany,BRT,F,LoadFactor,CY,45,20170101
NSWEUR,Germany,BRT,F,LoadFactor,VTL,1.36,20170101
NSWEUR,Germany,BRT,Y,Bookings,CY,0.05,20170101
NSWEUR,Germany,BRT,Y,Bookings,VTL(%),34,20170101
NSWEUR,Germany,BRT,Y,Bookings,TKT(%),92,20170101
NSWEUR,Germany,BRT,Y,Passenger,Forecast,0.04,20170101
NSWEUR,Germany,BRT,Y,Passenger,BGT,0.25,20170101
NSWEUR,Germany,BRT,Y,Passenger,VTB(%),3,20170101
NSWEUR,Germany,BRT,Y,Passenger,VTL(%),8,20170101
NSWEUR,Germany,BRT,Y,ATV,Forecast,312.6,20170101
NSWEUR,Germany,BRT,Y,ATV,BGT,324.3,20170101
NSWEUR,Germany,BRT,Y,ATV,VTB(%),16,20170101
NSWEUR,Germany,BRT,Y,ATV,VTL(%),5,20170101
NSWEUR,Germany,BRT,Y,Revenue,Forecast,135,20170101
NSWEUR,Germany,BRT,Y,Revenue,BGT,165.2,20170101
NSWEUR,Germany,BRT,Y,Revenue,VTB(%),15,20170101
NSWEUR,Germany,BRT,Y,Revenue,VTL(%),3,20170101
NSWEUR,Germany,BRT,Y,SAmarketShare(%),CY(%),4.26,20170101
NSWEUR,Germany,BRT,Y,SAmarketShare(%),VTL(pts),2.9,20170101
NSWEUR,Germany,BRT,Y,RASK,CY,2341,20170101
NSWEUR,Germany,BRT,Y,RASK,VTL,5,20170101
NSWEUR,Germany,BRT,Y,ASK,CY,3,20170101
NSWEUR,Germany,BRT,Y,ASK,V.LY,5.3,20170101
NSWEUR,Germany,BRT,Y,Yield,CY,6.3,20170101
NSWEUR,Germany,BRT,Y,Yield,VTL,7,20170101
NSWEUR,Germany,BRT,Y,LoadFactor,CY,56,20170101
NSWEUR,Germany,BRT,Y,LoadFactor,VTL,1.32,20170101
NSWEUR,Germany,BRT,J,Bookings,CY,0.22,20170101
NSWEUR,Germany,BRT,J,Bookings,VTL(%),12,20170101
NSWEUR,Germany,BRT,J,Bookings,TKT(%),94,20170101
NSWEUR,Germany,BRT,J,Passenger,Forecast,0.45,20170101
NSWEUR,Germany,BRT,J,Passenger,BGT,0.46,20170101
NSWEUR,Germany,BRT,J,Passenger,VTB(%),2,20170101
